Step mapping:
  003029: 0.2 → 0.05
  300540: 0.2 → 0.05
  600975: 0.05 → 0.02
  000025: 0.1 → 0.02
  603551: 0.1 → 0.02
  601949: 0.05 → 0.02
  002462: 0.1 → 0.02
  300388: 0.05 → 0.02
  002609: 0.05 → 0.02
  进度: 79500/87571 (90.8%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 80000/87571 (91.4%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 80500/87571 (91.9%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 81000/87571 (92.5%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 81500/87571 (93.1%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 82000/87571 (93.6%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 82500/87571 (94.2%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 83000/87571 (94.8%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 83500/87571 (95.4%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 84000/87571 (95.9%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 84500/87571 (96.5%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 85000/87571 (97.1%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 85500/87571 (97.6%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 86000/87571 (98.2%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 86500/87571 (98.8%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 87000/87571 (99.3%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 87500/87571 (99.9%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 87571/87571 (100.0%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
[003029] 472条 grid=87571 B=24.35 S=26.45 ret=121.14% score=121.14 stb=1.00 16t
  进度: 500/84255 (0.6%), 步长=0.05, 当前最优: B=15.67 S=20.17 ret=28.46% score=13.09
